
1it [00:00, ?it/s]
3it [00:00, 14.34it/s, bound:0 nc: 27 ncall:8.2e+01 eff:3.7% logz-ratio=-744.95+/-0.30 dlogz:459.928>0.1]
5it [00:00, 14.68it/s, bound:0 nc:  1 ncall:9.9e+01 eff:5.1% logz-ratio=-637.88+/-0.31 dlogz:371.923>0.1]
6it [00:20, 14.68it/s, bound:1 nc:  1 ncall:1.0e+02 eff:6.0% logz-ratio=-599.69+/-0.31 dlogz:324.037>0.1]
7it [00:35,  8.00s/it, bound:1 nc: 39 ncall:1.4e+02 eff:5.0% logz-ratio=-596.32+/-0.30 dlogz:285.828>0.1]
22it [01:43,  5.12s/it, bound:2 nc: 68 ncall:7.5e+02 eff:2.9% logz-ratio=-480.55+/-0.27 dlogz:167.471>0.1]
43it [03:04,  4.34s/it, bound:4 nc: 68 ncall:2.2e+03 eff:2.0% logz-ratio=-435.50+/-0.28 dlogz:122.040>0.1]
62it [04:24,  4.29s/it, bound:7 nc: 86 ncall:3.8e+03 eff:1.6% logz-ratio=-405.23+/-0.29 dlogz:95.518>0.1] 
84it [06:39,  5.06s/it, bound:9 nc: 82 ncall:5.6e+03 eff:1.5% logz-ratio=-381.56+/-0.30 dlogz:70.959>0.1]
105it [08:49,  5.48s/it, bound:14 nc:145 ncall:8.7e+03 eff:1.2% logz-ratio=-367.39+/-0.32 dlogz:56.794>0.1]
124it [10:51,  5.79s/it, bound:17 nc:130 ncall:1.1e+04 eff:1.1% logz-ratio=-356.06+/-0.29 dlogz:44.463>0.1]
145it [14:29,  7.34s/it, bound:22 nc:122 ncall:1.4e+04 eff:1.1% logz-ratio=-348.85+/-0.31 dlogz:36.917>0.1]
150it [14:41,  6.82s/it, bound:23 nc:220 ncall:1.5e+04 eff:1.0% logz-ratio=-346.76+/-0.20 dlogz:34.994>0.1]
161it [17:00,  8.26s/it, bound:27 nc:138 ncall:1.7e+04 eff:0.9% logz-ratio=-342.27+/-0.32 dlogz:30.063>0.1]
183it [19:18,  7.44s/it, bound:31 nc:138 ncall:2.0e+04 eff:0.9% logz-ratio=-337.06+/-0.31 dlogz:26.723>0.1]
198it [20:40,  6.88s/it, bound:34 nc:137 ncall:2.2e+04 eff:0.9% logz-ratio=-333.05+/-0.33 dlogz:22.411>0.1]
220it [21:57,  5.61s/it, bound:37 nc: 80 ncall:2.4e+04 eff:0.9% logz-ratio=-328.83+/-0.32 dlogz:30.011>0.1]
239it [23:53,  5.76s/it, bound:39 nc:122 ncall:2.6e+04 eff:0.9% logz-ratio=-326.38+/-0.33 dlogz:27.215>0.1]
259it [31:49, 11.57s/it, bound:43 nc:122 ncall:2.8e+04 eff:0.9% logz-ratio=-323.75+/-0.34 dlogz:24.194>0.1]
262it [32:00, 11.07s/it, bound:45 nc:478 ncall:2.9e+04 eff:0.9% logz-ratio=-323.31+/-0.13 dlogz:23.708>0.1]
277it [33:31,  9.50s/it, bound:52 nc: 91 ncall:3.6e+04 eff:0.8% logz-ratio=-321.31+/-0.33 dlogz:21.374>0.1]
298it [35:54,  8.45s/it, bound:55 nc: 91 ncall:3.8e+04 eff:0.8% logz-ratio=-319.52+/-0.35 dlogz:19.967>0.1]
317it [37:59,  7.82s/it, bound:59 nc:148 ncall:4.1e+04 eff:0.8% logz-ratio=-317.21+/-0.37 dlogz:17.282>0.1]
339it [39:25,  6.44s/it, bound:63 nc:125 ncall:4.4e+04 eff:0.8% logz-ratio=-315.45+/-0.13 dlogz:20.268>0.1]
360it [41:10,  5.96s/it, bound:66 nc: 91 ncall:4.6e+04 eff:0.8% logz-ratio=-313.98+/-0.34 dlogz:18.413>0.1]
380it [43:38,  6.40s/it, bound:69 nc:105 ncall:4.8e+04 eff:0.8% logz-ratio=-311.95+/-0.39 dlogz:15.985>0.1]
398it [45:20,  6.20s/it, bound:73 nc:107 ncall:5.0e+04 eff:0.8% logz-ratio=-310.37+/-0.40 dlogz:14.032>0.1]
420it [47:42,  6.27s/it, bound:76 nc:107 ncall:5.3e+04 eff:0.8% logz-ratio=-308.77+/-0.41 dlogz:11.976>0.1]
441it [1:15:31, 29.05s/it, bound:81 nc:1723 ncall:5.7e+04 eff:0.8% logz-ratio=-307.59+/-0.41 dlogz:12.144>0.1]
443it [1:15:42, 28.10s/it, bound:83 nc:1723 ncall:6.1e+04 eff:0.7% logz-ratio=-307.49+/-0.09 dlogz:12.001>0.1]
463it [1:19:20, 21.79s/it, bound:103 nc:1723 ncall:9.5e+04 eff:0.5% logz-ratio=-306.65+/-0.14 dlogz:10.754>0.1]
482it [1:22:36, 17.96s/it, bound:109 nc:195 ncall:9.9e+04 eff:0.5% logz-ratio=-306.04+/-0.30 dlogz:40.706>0.1] 
504it [1:26:52, 15.72s/it, bound:115 nc:258 ncall:1.0e+05 eff:0.5% logz-ratio=-305.31+/-0.37 dlogz:39.529>0.1]
508it [1:27:04, 14.65s/it, bound:116 nc:258 ncall:1.0e+05 eff:0.5% logz-ratio=-305.19+/-0.07 dlogz:39.329>0.1]
525it [1:30:25, 13.68s/it, bound:122 nc:258 ncall:1.1e+05 eff:0.5% logz-ratio=-304.65+/-0.29 dlogz:57.863>0.1]
543it [1:35:40, 14.99s/it, bound:128 nc:327 ncall:1.1e+05 eff:0.5% logz-ratio=-303.94+/-0.38 dlogz:56.807>0.1]
559it [1:56:44, 34.23s/it, bound:136 nc:327 ncall:1.2e+05 eff:0.5% logz-ratio=-303.36+/-0.42 dlogz:55.898>0.1]
560it [2:30:46, 86.76s/it, bound:137 nc:29108 ncall:1.5e+05 eff:0.4% logz-ratio=-303.33+/-0.42 dlogz:55.846>0.1]
561it [2:30:58, 84.07s/it, bound:138 nc:4592 ncall:1.5e+05 eff:0.4% logz-ratio=-303.30+/-0.08 dlogz:89.826>0.1] 
571it [3:05:54, 126.70s/it, bound:148 nc:5734 ncall:2.0e+05 eff:0.3% logz-ratio=-303.00+/-0.14 dlogz:89.337>0.1]
572it [3:06:06, 121.41s/it, bound:149 nc:5734 ncall:2.0e+05 eff:0.3% logz-ratio=-302.97+/-0.08 dlogz:89.286>0.1]
579it [3:40:27, 176.14s/it, bound:156 nc:5734 ncall:2.4e+05 eff:0.2% logz-ratio=-302.78+/-0.10 dlogz:88.951>0.1]
582it [3:40:29, 147.67s/it, bound:159 nc:2079 ncall:2.5e+05 eff:0.2% logz-ratio=-302.71+/-0.07 dlogz:88.815>0.1]
597it [4:08:54, 129.42s/it, bound:174 nc:14569 ncall:2.9e+05 eff:0.2% logz-ratio=-302.32+/-0.11 dlogz:88.133>0.1]
598it [4:08:56, 123.24s/it, bound:175 nc:14569 ncall:3.1e+05 eff:0.2% logz-ratio=-302.29+/-0.08 dlogz:112.317>0.1]
599it [4:50:25, 276.91s/it, bound:176 nc:14569 ncall:3.2e+05 eff:0.2% logz-ratio=-302.26+/-0.08 dlogz:112.269>0.1]
600it [4:50:37, 254.43s/it, bound:177 nc:19578 ncall:3.4e+05 eff:0.2% logz-ratio=-302.24+/-0.08 dlogz:112.222>0.1]
