
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  4 ncall:5.0e+02 eff:0.2% logz-ratio=-905.33+/-0.12 dlogz:inf>0.1]
2it [00:01,  1.85it/s, bound:0 nc: 12 ncall:5.2e+02 eff:0.4% logz-ratio=-807.74+/-0.12 dlogz:624.727>0.1]
3it [00:01,  1.81it/s, bound:0 nc:  8 ncall:5.2e+02 eff:0.6% logz-ratio=-760.53+/-0.12 dlogz:527.131>0.1]
4it [00:02,  1.85it/s, bound:0 nc:  9 ncall:5.3e+02 eff:0.8% logz-ratio=-742.49+/-0.12 dlogz:479.918>0.1]
5it [00:02,  1.83it/s, bound:0 nc:  8 ncall:5.4e+02 eff:0.9% logz-ratio=-736.82+/-0.12 dlogz:461.878>0.1]
6it [00:03,  1.80it/s, bound:0 nc:  2 ncall:5.4e+02 eff:1.1% logz-ratio=-722.42+/-0.12 dlogz:456.209>0.1]
7it [00:03,  1.75it/s, bound:0 nc:  1 ncall:5.4e+02 eff:1.3% logz-ratio=-720.23+/-0.11 dlogz:441.809>0.1]
8it [00:04,  1.69it/s, bound:0 nc:  3 ncall:5.5e+02 eff:1.5% logz-ratio=-719.13+/-0.11 dlogz:439.619>0.1]
9it [00:05,  1.69it/s, bound:0 nc:  8 ncall:5.6e+02 eff:1.6% logz-ratio=-709.59+/-0.12 dlogz:438.511>0.1]
10it [00:05,  1.68it/s, bound:0 nc: 21 ncall:5.8e+02 eff:1.7% logz-ratio=-685.67+/-0.12 dlogz:428.974>0.1]
11it [00:06,  1.68it/s, bound:0 nc:  9 ncall:5.8e+02 eff:1.9% logz-ratio=-682.35+/-0.11 dlogz:405.044>0.1]
12it [00:06,  1.71it/s, bound:0 nc:  6 ncall:5.9e+02 eff:2.0% logz-ratio=-675.01+/-0.12 dlogz:401.731>0.1]
13it [00:07,  1.82it/s, bound:0 nc:  2 ncall:5.9e+02 eff:2.2% logz-ratio=-670.80+/-0.12 dlogz:394.387>0.1]
14it [00:07,  1.83it/s, bound:0 nc:  1 ncall:5.9e+02 eff:2.4% logz-ratio=-667.33+/-0.12 dlogz:390.177>0.1]
15it [00:08,  1.71it/s, bound:0 nc:  3 ncall:6.0e+02 eff:2.5% logz-ratio=-665.94+/-0.11 dlogz:386.704>0.1]
16it [00:09,  1.70it/s, bound:0 nc:  3 ncall:6.0e+02 eff:2.7% logz-ratio=-659.28+/-0.12 dlogz:385.311>0.1]
17it [00:09,  1.74it/s, bound:0 nc:  1 ncall:6.0e+02 eff:2.8% logz-ratio=-649.17+/-0.12 dlogz:378.643>0.1]
18it [00:10,  1.76it/s, bound:0 nc:  7 ncall:6.1e+02 eff:3.0% logz-ratio=-647.44+/-0.11 dlogz:368.531>0.1]
19it [00:10,  1.67it/s, bound:0 nc:  5 ncall:6.1e+02 eff:3.1% logz-ratio=-644.89+/-0.11 dlogz:366.802>0.1]
20it [00:11,  1.83it/s, bound:0 nc:  4 ncall:6.2e+02 eff:3.2% logz-ratio=-630.88+/-0.12 dlogz:364.248>0.1]
21it [00:11,  1.90it/s, bound:0 nc:  5 ncall:6.2e+02 eff:3.4% logz-ratio=-629.73+/-0.11 dlogz:350.240>0.1]
22it [00:12,  1.93it/s, bound:0 nc: 17 ncall:6.4e+02 eff:3.4% logz-ratio=-629.15+/-0.10 dlogz:349.082>0.1]
23it [00:12,  1.92it/s, bound:0 nc:  5 ncall:6.4e+02 eff:3.6% logz-ratio=-625.52+/-0.12 dlogz:348.508>0.1]
24it [00:13,  1.81it/s, bound:0 nc: 12 ncall:6.6e+02 eff:3.7% logz-ratio=-624.44+/-0.11 dlogz:344.870>0.1]
25it [00:14,  1.80it/s, bound:0 nc: 11 ncall:6.7e+02 eff:3.7% logz-ratio=-623.91+/-0.10 dlogz:343.786>0.1]
26it [00:14,  1.82it/s, bound:0 nc:  7 ncall:6.7e+02 eff:3.9% logz-ratio=-620.65+/-0.12 dlogz:343.255>0.1]
27it [00:15,  1.70it/s, bound:0 nc:  7 ncall:6.8e+02 eff:4.0% logz-ratio=-619.45+/-0.11 dlogz:339.992>0.1]
28it [00:15,  1.71it/s, bound:0 nc: 19 ncall:7.0e+02 eff:4.0% logz-ratio=-618.82+/-0.10 dlogz:338.797>0.1]
29it [00:16,  1.68it/s, bound:0 nc: 16 ncall:7.2e+02 eff:4.1% logz-ratio=-612.84+/-0.12 dlogz:338.165>0.1]
30it [00:17,  1.57it/s, bound:0 nc: 21 ncall:7.4e+02 eff:4.1% logz-ratio=-611.74+/-0.11 dlogz:332.176>0.1]
31it [00:17,  1.57it/s, bound:0 nc:  1 ncall:7.4e+02 eff:4.2% logz-ratio=-610.28+/-0.11 dlogz:331.074>0.1]
32it [00:18,  1.63it/s, bound:0 nc:  1 ncall:7.4e+02 eff:4.3% logz-ratio=-609.25+/-0.10 dlogz:329.617>0.1]
33it [00:18,  1.67it/s, bound:0 nc: 42 ncall:7.8e+02 eff:4.2% logz-ratio=-608.52+/-0.10 dlogz:328.583>0.1]
34it [00:19,  1.66it/s, bound:0 nc: 11 ncall:7.9e+02 eff:4.3% logz-ratio=-607.95+/-0.10 dlogz:327.854>0.1]
35it [00:20,  1.72it/s, bound:0 nc:  5 ncall:8.0e+02 eff:4.4% logz-ratio=-607.51+/-0.10 dlogz:327.281>0.1]
36it [00:20,  1.74it/s, bound:0 nc:  6 ncall:8.0e+02 eff:4.5% logz-ratio=-606.92+/-0.10 dlogz:326.838>0.1]
37it [00:21,  1.80it/s, bound:0 nc:  3 ncall:8.1e+02 eff:4.6% logz-ratio=-605.89+/-0.10 dlogz:326.243>0.1]
38it [00:21,  1.79it/s, bound:0 nc: 22 ncall:8.3e+02 eff:4.6% logz-ratio=-604.76+/-0.10 dlogz:325.217>0.1]
39it [00:22,  1.72it/s, bound:0 nc:  1 ncall:8.3e+02 eff:4.7% logz-ratio=-604.03+/-0.10 dlogz:324.087>0.1]
40it [00:22,  1.76it/s, bound:0 nc:  1 ncall:8.3e+02 eff:4.8% logz-ratio=-603.46+/-0.10 dlogz:323.348>0.1]
41it [00:23,  1.71it/s, bound:0 nc: 14 ncall:8.4e+02 eff:4.9% logz-ratio=-602.22+/-0.11 dlogz:322.781>0.1]
42it [00:24,  1.66it/s, bound:0 nc: 11 ncall:8.6e+02 eff:4.9% logz-ratio=-599.77+/-0.11 dlogz:321.537>0.1]
43it [00:24,  1.66it/s, bound:0 nc:  6 ncall:8.6e+02 eff:5.0% logz-ratio=-598.43+/-0.11 dlogz:319.083>0.1]
44it [00:25,  1.68it/s, bound:0 nc:  4 ncall:8.6e+02 eff:5.1% logz-ratio=-597.47+/-0.10 dlogz:317.741>0.1]
45it [00:25,  1.78it/s, bound:0 nc:  1 ncall:8.7e+02 eff:5.2% logz-ratio=-596.61+/-0.10 dlogz:316.780>0.1]
46it [00:26,  1.83it/s, bound:0 nc:  9 ncall:8.8e+02 eff:5.3% logz-ratio=-593.33+/-0.12 dlogz:315.920>0.1]
47it [00:26,  1.83it/s, bound:0 nc: 11 ncall:8.9e+02 eff:5.3% logz-ratio=-592.04+/-0.11 dlogz:312.637>0.1]
48it [00:27,  1.78it/s, bound:0 nc: 16 ncall:9.0e+02 eff:5.3% logz-ratio=-591.29+/-0.10 dlogz:311.345>0.1]
49it [00:27,  1.90it/s, bound:0 nc:  1 ncall:9.0e+02 eff:5.4% logz-ratio=-590.80+/-0.10 dlogz:310.596>0.1]
50it [00:28,  1.95it/s, bound:0 nc:  4 ncall:9.1e+02 eff:5.5% logz-ratio=-588.78+/-0.11 dlogz:310.100>0.1]
51it [00:29,  1.46it/s, bound:0 nc: 11 ncall:9.2e+02 eff:5.6% logz-ratio=-587.57+/-0.11 dlogz:308.078>0.1]
52it [00:30,  1.56it/s, bound:0 nc:  8 ncall:9.3e+02 eff:5.6% logz-ratio=-586.65+/-0.10 dlogz:306.864>0.1]
53it [00:30,  1.65it/s, bound:0 nc: 11 ncall:9.4e+02 eff:5.7% logz-ratio=-585.46+/-0.11 dlogz:305.949>0.1]
54it [00:31,  1.75it/s, bound:0 nc:  6 ncall:9.4e+02 eff:5.7% logz-ratio=-584.64+/-0.10 dlogz:304.757>0.1]
55it [00:31,  1.85it/s, bound:0 nc: 13 ncall:9.6e+02 eff:5.8% logz-ratio=-584.12+/-0.10 dlogz:303.932>0.1]
56it [00:32,  1.92it/s, bound:0 nc: 14 ncall:9.7e+02 eff:5.8% logz-ratio=-583.13+/-0.10 dlogz:303.406>0.1]
57it [00:32,  1.82it/s, bound:0 nc: 11 ncall:9.8e+02 eff:5.8% logz-ratio=-578.58+/-0.12 dlogz:302.419>0.1]
58it [00:33,  1.94it/s, bound:0 nc:  2 ncall:9.8e+02 eff:5.9% logz-ratio=-577.43+/-0.11 dlogz:297.866>0.1]
59it [00:33,  1.99it/s, bound:0 nc: 12 ncall:1.0e+03 eff:5.9% logz-ratio=-576.39+/-0.11 dlogz:296.710>0.1]
60it [00:34,  1.84it/s, bound:1 nc:  5 ncall:1.0e+03 eff:6.0% logz-ratio=-575.61+/-0.10 dlogz:295.668>0.1]
61it [06:57, 115.51s/it, bound:1 nc: 45 ncall:1.0e+03 eff:5.8% logz-ratio=-574.01+/-0.11 dlogz:294.889>0.1]
84it [16:43, 33.74s/it, bound:2 nc: 45 ncall:2.1e+03 eff:4.0% logz-ratio=-541.40+/-0.11 dlogz:261.642>0.1] 
109it [28:12, 30.13s/it, bound:5 nc: 68 ncall:3.6e+03 eff:3.0% logz-ratio=-522.68+/-0.10 dlogz:246.159>0.1]
132it [33:53, 23.48s/it, bound:7 nc: 68 ncall:5.2e+03 eff:2.6% logz-ratio=-511.21+/-0.10 dlogz:234.621>0.1]
